# Ensembl aliases with known digest divergence between seqrepo and refgetstore
#
# 115 entries: bioutils seq_seqhash strips * before hashing (star_normalization)
#   1 entry:  genuine sequence difference across Ensembl releases (sequence_divergence)
#
# Format: accession	seqrepo_seq_id	refget_sha512t24u	cause
#
ENSP00000340011.8	fv4uQW4AfrwGj3dx9D4xfpccU7Qnqtia	8Co4fICavUFj9qH_GGXd5cbWbzh8oSZ0	star_normalization
ENSP00000375609.1	0wFdmvBugnimf4tOFjCVdckpw3P6GmOx	Qg7FS7qyO-pfHp7HYd4wvr26DEx1oov4	star_normalization
ENSP00000385765.6	lV7Y-VqQL6dNPJ2ZKWTqw46p_da8Eodm	YL07fWvAjY43qO_0ZnVw5BxCvo_M_0x-	star_normalization
ENSP00000402491.1	e6sQaY-e_N_HsVyuY3ymiFysYBMBFk9W	dBxeQN4GInX8eFSsicpYD8N5Nn_0My2g	star_normalization
ENSP00000411913.1	_RbUr7Oq9qE22xU9fnMC2uLA8RIp2Hri	TQ93TCrFm5e-mb-tkSHz3d_DYaAlo4i3	star_normalization
ENSP00000421815.1	tM9WHP2MFnlP7TaVWy-zF3pASsoLzDdU	PuFuh2fJaeBhwf_CIXb9c4n-5HHCkIA8	star_normalization
ENSP00000422220.1	o6IopMWmnKAE7FUNdEFy2TnsyBDa-swp	2ludFB9wsyqzj2rD-ba2o2sFeXQIa277	star_normalization
ENSP00000423754.1	K56fM_BMAirMsSULhhLEc2yBkgvEE_aZ	kw3yUvbNK6RIftnKndZqroj4_OZxeNl9	star_normalization
ENSP00000423899.1	RDSLXXiECCksD3fd4HEjkDRDUojB3zm1	D9gmmANCDpy0XX2JYSF7ZeHkXVaaDAm6	star_normalization
ENSP00000423970.1	fOlJtYkBTNNq6H0kRnKsGbSqtO5PcFEr	96AGBZz3OkRXlz54m0a5vf04XVfn8MG0	star_normalization
ENSP00000424038.1	lOkFBmBx4LkR4GtP4ljxF4ssKcMpU9S2	sNGrVi9jJokpvjhGaAkw9-5mCjrkxR5s	star_normalization
ENSP00000425652.1	0UyEhk9QGqb2gKNUMpHZ93nXVAXK9yTO	JQU8ZqYvYRuVO19ZDaHQhHM89PyidybZ	star_normalization
ENSP00000426427.1	03nXBcwbbJQPYE_5LurPSoCpnsikUdEn	pO53MQMJFDxQT6bOb7ey9est-55eH5NH	star_normalization
ENSP00000426566.1	_nkNH8COTskYyNkCoTzIRNHzENVylj1y	egHuRL5C7VrWvOx3FvqbEayoBNIeC6ZM	star_normalization
ENSP00000426627.1	OpwKkqOENTdevZ_CrLEOVumim2QTctaK	2KlIfbXxNKZoNImdwrmKBdRYXPkKL_2G	star_normalization
ENSP00000427437.1	wWUGUKB2gnrfgmMm0qg34Iy9mUEhx4ju	7KGhHMvva3lM9749_TxBRCl5Oz8YcdKo	star_normalization
ENSP00000427458.1	rFjG0Bt4bfEH09x5PaR9jZGd03wmgE6O	-x9lIom6XRVzSbgQDyNb0hrandBbttoV	star_normalization
ENSP00000427969.1	y9mM4wkXZleVNSyYRPm83MhQd47vpV0A	Ah8IodVoXqfHk4DDt8jsFGSic0fRZYU0	star_normalization
ENSP00000428366.1	SHyk_qyvZUk1fYzNdSTs6Drv8jS87r_C	CN6dOnzsnNZiifsD2mNJ941p8KVRVPJu	star_normalization
ENSP00000428393.1	qRfoOZ40q93mvxVq3MDnu2rMZt2mB_ob	yAZ-3aLns9fo2SxCNtvZJGjw_9-p67nz	star_normalization
ENSP00000428616.1	KRLK6ZBMvRpTakgKIIWxTzvHu6nZtEKQ	5ZDMzPF5f4u5xiuBDA2ByfCYoG4534KM	star_normalization
ENSP00000429324.1	m19OoHXspP1j74FYLLR0Fon_Tca6IwAP	fn4oRtmkRm5ikN4QPXXg0RdDOzaLpvUH	star_normalization
ENSP00000429952.1	5Ek4xsz2ZS7GfXgv_ZBjOH5FkAP3XMX6	JCCHtapvgLCCSu0eIJCK34DXB_mOSDrc	star_normalization
ENSP00000430034.1	qRfoOZ40q93mvxVq3MDnu2rMZt2mB_ob	yAZ-3aLns9fo2SxCNtvZJGjw_9-p67nz	star_normalization
ENSP00000430248.1	AAWZIb3sgZG4DGzYKPTEdsDRPppA20nl	ZyuIuWLGyac0hNqMfiw0XIJIjTx1UF2Y	star_normalization
ENSP00000430788.1	4nJC7z8ekuHU6kAl4yMiV6qZlrpomr_6	vQGG6MQqX_mw1KxS82QU0Kuk5KtUItWA	star_normalization
ENSP00000431031.1	l4SXGqAbFUh7r1jc-ImcNEdp067Fa0MY	zkX9kDvYwL768RXctEHW7-3lneBHc71d	star_normalization
ENSP00000431089.1	BM1Hbmp96w4OSkWZ5u_ROCq4tWMf_V69	hzlOSDnnFBtjxI-qUTYSXVvP8K76MfHk	star_normalization
ENSP00000434417.1	zKGzcqTwIi1cpsh_25jTR-g7cycsIEpf	Ih9FQHBcIpxLvdvSmQwf1B_uW07yCbjE	star_normalization
ENSP00000434644.1	DZRDVc8gAxzoOkjyLBLK3IcVRKKK46Pw	v8czIuEX2XTC0M9Dw7Ax3fzb4H8qdgOL	star_normalization
ENSP00000438013.1	nDmCYyT1EKuf9Z8mrnEgCxgF2Hjn0T_P	_nPal56b66hTKeKlOajKFSKjKY8DcuU-	star_normalization
ENSP00000439604.1	oaVc-acao8fOMIyVp_H98dcz0BSDIUWH	aYF_Y_ycp3u3t9Gqeu96GLzc304fQ0zp	star_normalization
ENSP00000445124.1	6VmdTL7nqa7JQpolg-wuBLGwIKBnrP9F	MIwe_aAViS3zDJuv3mQTnIDVQMSLST8L	star_normalization
ENSP00000451021.2	38LKEEE-120Kwsih-vNlwnx8tb2A4ZSx	_rwlFqSN0jljdGdyuRQXsthR-SSMBJ2G	star_normalization
ENSP00000452150.1	ynPhtGE3u23nkLJNMxVv51pviMYUrBBX	Ede4Q4UXqG9Dzi4MrnjeH9jp9k0ggu7T	star_normalization
ENSP00000461363.1	O0rR6w_qtUdlVU360MFqtPEbi7ZFraqF	KInA0nFf_sQ_yQXjq92_k4rkC72kfgDG	star_normalization
ENSP00000461768.1	SBAWxYVz_UK9DZodtRFfbK1-2l5-uvL2	6UVE7AZ23iHnnV0dDaNAFu_wGKHPYYoI	star_normalization
ENSP00000463502.4	syXOnAwOvxwpfLO67Z7c84KArOxWUGX-	zWPI0igbczAoDoC3RNroPzMKmMmNOe6I	star_normalization
ENSP00000474017.2	PkCr3cRIsERXzmDHBNwJKKU2AhW1pcjS	a8CMClpZG-W05aaW-ZTFsdZ8WUQnX6t4	star_normalization
ENSP00000474065.2	PkCr3cRIsERXzmDHBNwJKKU2AhW1pcjS	a8CMClpZG-W05aaW-ZTFsdZ8WUQnX6t4	star_normalization
ENSP00000474133.2	U7neqpeNT4iNk-l3yhxlfzeh7imlPahR	Qflup9oKLA9_ebzhyw1VwhdIcInZGnb_	star_normalization
ENSP00000474573.2	U7neqpeNT4iNk-l3yhxlfzeh7imlPahR	Qflup9oKLA9_ebzhyw1VwhdIcInZGnb_	star_normalization
ENSP00000474693.2	FfJUWv8y8zqeEkxc8WC0CBxAVBpHKby_	SMi7IfQFm46hxfH46aUlNOJd_mTj6CYC	star_normalization
ENSP00000475053.2	FfJUWv8y8zqeEkxc8WC0CBxAVBpHKby_	SMi7IfQFm46hxfH46aUlNOJd_mTj6CYC	star_normalization
ENSP00000475160.1	FOZR2eNkiqv0vQKW28sYDoFUk-pHLf7q	GO28PhtqjbkgqI_ZXen46QVdAUtQsTy0	star_normalization
ENSP00000475351.1	NaBv12DVCEzFhBS1k7fnmH1RvEOocOQZ	JcuCvOWNKvugDHiBlc5QNxiD9c1xGoHK	star_normalization
ENSP00000475611.1	CafOAbOr7B4OwynxW2mGBs93mmWzlLpj	so4CHY-xDA2Kza_d9Sq8Cz9E96yZMrL8	star_normalization
ENSP00000476186.1	GQpNKfcojbpwHYXfeaYzPUelZhAsVouD	Mg_qtBntkSHm5xPGBWSLyzHBXF1Ua1Oi	star_normalization
ENSP00000476380.1	546P9zkeSm9jcCq9v5rNou3-U-9wOXa0	9gXvvtU-EONZkDaTQZTRkqqAeX9YbCjD	star_normalization
ENSP00000476467.1	HV7AX9iHZz2qgacGsUkeLl9JY1wQSy7b	91F6s9En0f8Tp5H18TUHjtFIhnFA79lA	star_normalization
ENSP00000476576.1	MHCBdS-C2GvAKyaWy5g7YpM5Tl6S7r2P	exEjrMOOllerXl47soSNdLchtvUnq-n4	star_normalization
ENSP00000477333.1	81G0gd-_pNefpEX9qCl6Xo3SfpL_GtM_	jBGqsI0x-vXuNDpnaGRFodo1JLeIrtqk	star_normalization
ENSP00000477337.2	Hgx6zf3aYxje2c12BUxwnW3Wfwcz72-E	sfkGeZ9IhJISVjv1K1tsfeX8obIqTnf0	star_normalization
ENSP00000477393.1	-a7aCjSuO0y-Noz6SjHENVXwfOXx2lgl	C8md75ie9b7ZYfCXTAlyTnIUF4YkeQkn	star_normalization
ENSP00000478383.1	se_guVGDbGUwQ_VwGptcBPiTSUEMOTDA	IlMIcqDnTyx9LM1oe18o-6-Q6QWvov_6	star_normalization
ENSP00000478656.2	8Jwk52z5pfAcprdAXS7iQN1kTNxxio40	EbKxx4ZLK27lrDbLCoPaQMFIuY1_aMQs	star_normalization
ENSP00000478998.1	Ot3JN_E9VBadQ46vgolO3JMynJDqSGHa	f01vgyglFX1ju7emFuoB3OQn6mBWjCR6	star_normalization
ENSP00000479129.1	PVMp-pPMZHSdjxIHbf9BPZFTVliQPwt8	TiIdLvCGnMqH2aeTyjlo9IlWOwojBX4g	star_normalization
ENSP00000479356.1	se_guVGDbGUwQ_VwGptcBPiTSUEMOTDA	IlMIcqDnTyx9LM1oe18o-6-Q6QWvov_6	star_normalization
ENSP00000479369.1	fv4uQW4AfrwGj3dx9D4xfpccU7Qnqtia	8Co4fICavUFj9qH_GGXd5cbWbzh8oSZ0	star_normalization
ENSP00000479404.1	t3g70NPf5GGSyB223lAwFe6zw1ChtmEy	F_y21mXr_NuyB93ooYdRBy0kd-PXP6tz	star_normalization
ENSP00000481139.1	6y4nN8mld_LcvD-EbegjezG4J0ipyLq1	GIq_KqgXV64sQO3gTLidkdIOtqkmWH7A	star_normalization
ENSP00000481279.1	XwjGxQ5MlPAw2PL52E6hJdBXJE3Z-Q32	cUaEhxJnZ5QAuY3JG0Bn6bcW9MwKq73n	star_normalization
ENSP00000481428.1	fv4uQW4AfrwGj3dx9D4xfpccU7Qnqtia	8Co4fICavUFj9qH_GGXd5cbWbzh8oSZ0	star_normalization
ENSP00000482055.2	se_guVGDbGUwQ_VwGptcBPiTSUEMOTDA	IlMIcqDnTyx9LM1oe18o-6-Q6QWvov_6	star_normalization
ENSP00000482745.1	lOkFBmBx4LkR4GtP4ljxF4ssKcMpU9S2	sNGrVi9jJokpvjhGaAkw9-5mCjrkxR5s	star_normalization
ENSP00000483571.1	lv5JmDOztbvJgKGluw0Fh6jFTb0LyBFT	mNBJqEx1npRp6Qy7ofSZAYW4iX81-b3m	star_normalization
ENSP00000483620.1	fv4uQW4AfrwGj3dx9D4xfpccU7Qnqtia	8Co4fICavUFj9qH_GGXd5cbWbzh8oSZ0	star_normalization
ENSP00000485881.1	5CcawTtWZa2Bc5otcdnSdzOQV1aMT_cq	N3f7prhPB-ztQHfhGD48lojOdU42AWwG	star_normalization
ENSP00000485975.1	AlKSb7ywKLef2uY_oqJ97OqTeZ1Cdb1D	SzZa7T9y81S_V8iQp9RnpbnKshXX9IHp	star_normalization
